CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,IsParent,CustomerPriority,IncomeLevel
1,MRS.,STEPHANIE,MURPHY,1949-05-14,S,F,stephanie11@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
2,MRS.,JASMINE,TORRES,1950-05-20,S,F,jasmine32@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
3,MRS.,TIFFANY,LI,1951-09-06,S,F,tiffany3@adventure-works.com,70000.0,2.0,High School,Professional,Y,Yes,Standard,Average
4,MR.,COLIN,LIN,1933-04-04,M,M,colin8@adventure-works.com,70000.0,4.0,Graduate Degree,Management,Y,Yes,Standard,Average
5,MR.,ROBERT,COLLINS,1963-08-21,M,M,robert45@adventure-works.com,90000.0,0.0,Partial College,Professional,Y,No,Standard,High
6,MR.,IAN,GONZALES,1954-03-05,M,M,ian57@adventure-works.com,60000.0,2.0,High School,Professional,N,Yes,Standard,Average
7,MR.,KYLE,ZHANG,1962-03-20,M,M,kyle19@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
8,MR.,JULIAN,HUGHES,1960-07-02,M,M,julian13@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
9,MRS.,EMMA,TORRES,1960-10-02,M,F,emma40@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
10,MRS.,SYDNEY,GRAY,1959-01-22,M,F,sydney16@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y,Yes,Standard,Average
11,MR.,SETH,BROOKS,1958-12-01,S,M,seth74@adventure-works.com,60000.0,1.0,Bachelors,Professional,Y,Yes,Standard,Average
12,MR.,CHASE,MORGAN,1970-04-21,M,M,chase13@adventure-works.com,60000.0,1.0,Graduate Degree,Professional,Y,Yes,Standard,Average
13,MRS.,JENNIFER,BAKER,1969-11-07,M,F,jennifer19@adventure-works.com,60000.0,1.0,Graduate Degree,Professional,Y,Yes,Standard,Average
14,MR.,ANTONIO,WASHINGTON,1967-01-07,S,M,antonio13@adventure-works.com,40000.0,0.0,Bachelors,Professional,N,No,Standard,Average
15,MS.,ZOE,MURPHY,1965-04-05,S,F,zoe13@adventure-works.com,40000.0,0.0,Bachelors,Professional,N,No,Standard,Average
16,MR.,GARRETT,TRAVERS,1965-04-27,M,M,garrett9@adventure-works.com,80000.0,3.0,Bachelors,Skilled Manual,Y,Yes,Standard,High
17,MRS.,ISABELLA,YOUNG,1963-03-12,S,F,isabella56@adventure-works.com,60000.0,3.0,Graduate Degree,Professional,N,Yes,Standard,Average
18,MRS.,HANNAH,ANDERSON,1959-08-14,M,F,hannah9@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,Average
19,MRS.,LATOYA,SHEN,1959-04-26,M,F,latoya2@adventure-works.com,80000.0,5.0,Graduate Degree,Professional,Y,Yes,Standard,High
20,MR.,DYLAN,LAL,1973-01-06,S,M,dylan28@adventure-works.com,70000.0,0.0,Partial College,Professional,Y,No,Standard,Average
21,MS.,ANA,GRIFFIN,1973-07-03,S,F,ana19@adventure-works.com,70000.0,0.0,Partial College,Professional,N,No,Standard,Average
22,MR.,JOSE,WRIGHT,1980-11-22,S,M,jose56@adventure-works.com,40000.0,0.0,High School,Skilled Manual,Y,No,Standard,Average
23,MS.,KAYLA,COLEMAN,1972-05-19,S,F,kayla30@adventure-works.com,70000.0,0.0,Partial College,Skilled Manual,Y,No,Standard,Average
24,MR.,JASON,JENKINS,1943-06-02,M,M,jason4@adventure-works.com,130000.0,2.0,Bachelors,Management,Y,Yes,High,High
25,MR.,TYLER,RODRIGUEZ,1947-12-25,M,M,tyler20@adventure-works.com,60000.0,2.0,Bachelors,Management,Y,Yes,Standard,Average
26,MRS.,GRACE,CLARK,1949-10-25,S,F,grace18@adventure-works.com,60000.0,2.0,Partial College,Professional,Y,Yes,Standard,Average
